BNG Habitat,UKHAB Code,Level 1,Level 2 code,Level 2 Label,Level 3 code,Level 3 Label,Level 4 code,"Level 4 Label
(Priority Habitats in Bold)",Definition Page
Sparsely vegetated land - Coastal vegetated shingle,s3b,Terrestrial,s,Sparsely vegetated land,s3,Supralittoral sediment,s3b,Coastal vegetated shingle,216
Sparsely vegetated land - Ruderal/Ephemeral,81,Terrestrial,Various,,,,,,335
Sparsely vegetated land - Tall forbs,16,Terrestrial,g,Grassland,,,,,292
Sparsely vegetated land - Inland rock outcrop and scree habitats,s1a,Terrestrial,s,Sparsely vegetated land,s1,Inland rock,s1a,Inland rock outcrop and scree habitats,192
Sparsely vegetated land - Limestone pavement,s1b,Terrestrial,s,Sparsely vegetated land,s1,Inland rock,s1b,Limestone pavement,198
Sparsely vegetated land - Maritime cliff and slopes,s2a,Terrestrial,s,Sparsely vegetated land,s2,Supralittoral rock,s2a,Maritime cliff and slopes,204
Sparsely vegetated land - Other inland rock and scree,s1d,Terrestrial,s,Sparsely vegetated land,s1,Inland rock,s1d,Other inland rock and scree,202
Urban - Allotments,616,Terrestrial,c,Cropland,,,,,495
"Urban - Artificial unvegetated, unsealed surface",u1c,Terrestrial,u,Urban,u1,Built-up areas and gardens,u1c,"Artificial unvegetated, unsealed surface",185
Urban - Bioswale,849,Terrestrial,Various,,,,,,551
Urban - Intensive green roof,88,Terrestrial,u,Urban,u1,Built-up areas and gardens,u1b,Developed land; sealed surface,342
Urban - Built linear features,u1e,Terrestrial,u,Urban,u1,Built-up areas and gardens,u1e,Built linear features,187
Urban - Cemeteries and churchyards,90,Terrestrial,Various,,,,,,344
Urban - Developed land; sealed surface,u1b,Terrestrial,u,Urban,u1,Built-up areas and gardens,u1b,Developed land; sealed surface,182
Urban - Other green roof,89,Terrestrial,u,Urban,u1,Built-up areas and gardens,u1b,Developed land; sealed surface,343
Urban - Facade-bound green wall,843,Terrestrial,u,Urban,u1,Built-up areas and gardens,u1b,Developed land; sealed surface,545
Urban - Ground based green wall,842,Terrestrial,u,Urban,u1,Built-up areas and gardens,u1b,Developed land; sealed surface,544
Urban - Ground level planters,845,Terrestrial,u,Urban,u1,Built-up areas and gardens,,,547
Urban - Biodiverse green roof,87,Terrestrial,u,Urban,u1,Built-up areas and gardens,u1b,Developed land; sealed surface,341
Urban - Introduced shrub,847,Terrestrial,u,Urban,u1,Built-up areas and gardens,,,549
Urban - Open mosaic habitats on previously developed land,80,Terrestrial,Various,,,,,,334
Urban - Rain garden,850,Terrestrial,Various,,,,,,552
Urban - Actively worked sand pit quarry or open cast mine,85,Terrestrial,Various,,,,,,339
Urban - Sustainable drainage system,848,Terrestrial,Various,,,,,,550
Urban - Unvegetated garden,829,Terrestrial,u,Urban,u1,Built-up areas and gardens,,,531
Urban - Vacant or derelict land,82,Terrestrial,Various,,,,,,336
Urban - Bare ground,510,Terrestrial,Various,,,,,,520
Urban - Vegetated garden,828,Terrestrial,Various,,,,,,530
Individual trees - Urban tree,NE0014,Terrestrial,,,,,,,
Individual trees - Rural tree,NE0016,Terrestrial,,,,,,,
Wetland - Blanket bog,f1a,Terrestrial,f,Wetland,f1,Bog,f1a,Blanket bog,128
Wetland - Depressions on peat substrates (H7150),56,Terrestrial,Various,,,,,,320
Wetland - Fens (upland and lowland),f2a/f2c/f2f,Terrestrial,f,Wetland,f2,Fen marsh and swamp,Various,"Lowland fens/Upland flushes, fens and swamps/Other wetlands",
Wetland - Lowland raised bog,f1b,Terrestrial,f,Wetland,f1,Bog,f1b,Lowland raised bog,131
Wetland - Oceanic valley mire[1] (D2.1),D2.1,Terrestrial,,,,,,,
